,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Cx_lon,Cy_lat
14301,48,001,950100,1,1500000US480019501001,480019501001,1,BG,15079443,134009,-95.49935478,32.06182451
11827,48,001,950100,2,1500000US480019501002,480019501002,2,BG,228221552,5867980,-95.49648917,31.96261466
14095,48,001,950100,3,1500000US480019501003,480019501003,3,BG,240006137,1863681,-95.61225026,31.97449338
13067,48,001,950401,1,1500000US480019504011,480019504011,1,BG,16549830,296736,-95.81963245,31.73769813
8289,48,001,950402,1,1500000US480019504021,480019504021,1,BG,72472038,2627858,-95.91472533,31.7975976
15250,48,001,950500,1,1500000US480019505001,480019505001,1,BG,2281447,11065,-95.61229253,31.78238253
12346,48,001,950500,2,1500000US480019505002,480019505002,2,BG,2160840,11278,-95.61660232,31.76908012
5167,48,001,950500,3,1500000US480019505003,480019505003,3,BG,3617630,7525,-95.62794126,31.7811198
14023,48,001,950500,4,1500000US480019505004,480019505004,4,BG,15072126,69355,-95.65377597,31.79326981
4815,48,001,950600,1,1500000US480019506001,480019506001,1,BG,9613196,289059,-95.66542613,31.76593
12229,48,001,950600,2,1500000US480019506002,480019506002,2,BG,4727278,35734,-95.68836614,31.7296342
13945,48,001,950600,3,1500000US480019506003,480019506003,3,BG,3031558,1760,-95.6532433,31.74645376
7506,48,001,950600,4,1500000US480019506004,480019506004,4,BG,3279614,5326,-95.66865219,31.73988633
11896,48,001,950700,1,1500000US480019507001,480019507001,1,BG,3516101,981,-95.63526884,31.74330529
3766,48,001,950700,2,1500000US480019507002,480019507002,2,BG,1336351,5743,-95.64071913,31.75630858
11640,48,001,950700,3,1500000US480019507003,480019507003,3,BG,1868484,0,-95.62886686,31.75961548
14637,48,001,950800,1,1500000US480019508001,480019508001,1,BG,4000454,14012,-95.61550097,31.72506154
6200,48,001,950800,2,1500000US480019508002,480019508002,2,BG,3867469,3345,-95.61057646,31.74284436
3535,48,001,950800,3,1500000US480019508003,480019508003,3,BG,977961,74744,-95.61834685,31.75853006
15024,48,001,950800,4,1500000US480019508004,480019508004,4,BG,854424,0,-95.62008682,31.7526146
1255,48,001,950800,5,1500000US480019508005,480019508005,5,BG,927424,0,-95.61740532,31.7478506
14341,48,001,950901,1,1500000US480019509011,480019509011,1,BG,70279803,1577074,-95.7198843,31.67012374
12669,48,001,950901,2,1500000US480019509012,480019509012,2,BG,34001618,284638,-95.63186411,31.69997882
7515,48,001,950901,3,1500000US480019509013,480019509013,3,BG,45897130,1020801,-95.74711008,31.70088095
1594,48,001,950901,4,1500000US480019509014,480019509014,4,BG,139786437,1883030,-95.76580665,31.75400444
7511,48,001,950902,1,1500000US480019509021,480019509021,1,BG,137570240,1023530,-95.4611937,31.72710112
7510,48,001,950902,2,1500000US480019509022,480019509022,2,BG,186776695,2600246,-95.49595111,31.80085934
8290,48,001,950902,3,1500000US480019509023,480019509023,3,BG,50166236,541941,-95.66275187,31.8404668
6548,48,001,950902,4,1500000US480019509024,480019509024,4,BG,66852787,781943,-95.57844331,31.84006621
12976,48,001,951000,1,1500000US480019510001,480019510001,1,BG,241167793,1933185,-95.38259693,31.63167475
7502,48,001,951000,2,1500000US480019510002,480019510002,2,BG,117568493,1082397,-95.51237554,31.66347381
7503,48,001,951000,3,1500000US480019510003,480019510003,3,BG,50647076,560307,-95.62385746,31.65635673
7504,48,001,951000,4,1500000US480019510004,480019510004,4,BG,193114381,2307308,-95.64383917,31.57879731
1254,48,001,951000,5,1500000US480019510005,480019510005,5,BG,9254536,43905,-95.58569337,31.6099528
7505,48,001,951000,6,1500000US480019510006,480019510006,6,BG,5672363,50156,-95.57085247,31.62307594
8269,48,001,951100,1,1500000US480019511001,480019511001,1,BG,275967528,4089275,-95.76115224,31.96578897
3143,48,001,951100,2,1500000US480019511002,480019511002,2,BG,279515113,5389617,-95.94935385,31.937058
6457,48,001,951100,3,1500000US480019511003,480019511003,3,BG,112801470,2577360,-95.78993645,31.82059454
12977,48,001,951100,4,1500000US480019511004,480019511004,4,BG,101628212,813754,-95.82847188,31.87466784
8291,48,003,950100,1,1500000US480039501001,480039501001,1,BG,2624013391,0,-102.7165565,32.35874862
7124,48,003,950200,1,1500000US480039502001,480039502001,1,BG,1456389,0,-102.5440163,32.33333894
7507,48,003,950200,2,1500000US480039502002,480039502002,2,BG,504374,0,-102.5423497,32.32698114
6028,48,003,950200,3,1500000US480039502003,480039502003,3,BG,1263124,0,-102.5538511,32.32891262
1080,48,003,950200,4,1500000US480039502004,480039502004,4,BG,677027,0,-102.5647419,32.32478084
1257,48,003,950200,5,1500000US480039502005,480039502005,5,BG,555310,0,-102.5656454,32.32955166
12978,48,003,950200,6,1500000US480039502006,480039502006,6,BG,644453,0,-102.5629944,32.3197801
1595,48,003,950300,1,1500000US480039503001,480039503001,1,BG,2999135,0,-102.5450464,32.31207764
13068,48,003,950300,2,1500000US480039503002,480039503002,2,BG,1566951,30529,-102.5568618,32.31599107
7508,48,003,950300,3,1500000US480039503003,480039503003,3,BG,625982,0,-102.5443788,32.32155455
5753,48,003,950400,1,1500000US480039504001,480039504001,1,BG,1252544206,926510,-102.4731605,32.1922444
12437,48,005,000101,1,1500000US480050001011,480050001011,1,BG,128993848,1556141,-94.8954059,31.42250834
7547,48,005,000101,2,1500000US480050001012,480050001012,2,BG,83797477,760700,-94.83628856,31.47239061
7552,48,005,000101,3,1500000US480050001013,480050001013,3,BG,40502330,350625,-94.75645646,31.43022009
12859,48,005,000102,1,1500000US480050001021,480050001021,1,BG,106606300,1927568,-94.88226192,31.35120914
12217,48,005,000102,2,1500000US480050001022,480050001022,2,BG,49786759,499833,-94.84702226,31.2757694
12858,48,005,000200,1,1500000US480050002001,480050002001,1,BG,55638784,3877947,-94.68362767,31.41480049
6364,48,005,000200,2,1500000US480050002002,480050002002,2,BG,45363308,349182,-94.65236083,31.35805418
11684,48,005,000200,3,1500000US480050002003,480050002003,3,BG,24707438,129476,-94.6830033,31.27859972
8292,48,005,000301,1,1500000US480050003011,480050003011,1,BG,12994320,124349,-94.75564893,31.39493817
8294,48,005,000301,2,1500000US480050003012,480050003012,2,BG,9436076,88567,-94.78947615,31.33806293
8293,48,005,000301,3,1500000US480050003013,480050003013,3,BG,14046129,101926,-94.78283214,31.37438543
13069,48,005,000302,1,1500000US480050003021,480050003021,1,BG,11531370,80126,-94.79893531,31.31266181
8308,48,005,000302,2,1500000US480050003022,480050003022,2,BG,46508782,346617,-94.7795783,31.27370645
5939,48,005,000400,1,1500000US480050004001,480050004001,1,BG,2301206,7469,-94.75127212,31.35522526
7542,48,005,000400,2,1500000US480050004002,480050004002,2,BG,7164692,57444,-94.75931221,31.33968338
3715,48,005,000400,3,1500000US480050004003,480050004003,3,BG,1797966,0,-94.74040479,31.33328134
12094,48,005,000400,4,1500000US480050004004,480050004004,4,BG,1363475,1153,-94.7382373,31.34210106
7544,48,005,000500,1,1500000US480050005001,480050005001,1,BG,791295,0,-94.72819802,31.35144955
1252,48,005,000500,2,1500000US480050005002,480050005002,2,BG,9357168,305615,-94.74381371,31.37367162
4647,48,005,000500,3,1500000US480050005003,480050005003,3,BG,998722,0,-94.7360951,31.35342808
8309,48,005,000500,4,1500000US480050005004,480050005004,4,BG,3814988,10280,-94.71810254,31.37105781
5404,48,005,000600,1,1500000US480050006001,480050006001,1,BG,5162070,19221,-94.70200289,31.36237626
1253,48,005,000600,2,1500000US480050006002,480050006002,2,BG,1169840,1422,-94.71300848,31.34736984
12547,48,005,000600,3,1500000US480050006003,480050006003,3,BG,3776124,10007,-94.68656265,31.34775951
6207,48,005,000600,4,1500000US480050006004,480050006004,4,BG,5159322,37867,-94.69387452,31.33696643
12227,48,005,000700,1,1500000US480050007001,480050007001,1,BG,916760,0,-94.72983523,31.32863742
