,Unnamed: 0,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Cx_lon,Cy_lat
0,0,48,001,950902,1400000US48001950902,48001950902,9509.02,CT,441365958,4947660,-95.51663018028854,31.788416155102986
1,1,48,005,000200,1400000US48005000200,48005000200,2.0,CT,125709530,4356605,-94.6725231806484,31.36887295049867
2,2,48,005,000700,1400000US48005000700,48005000700,7.0,CT,2876878,0,-94.72582797650072,31.336513834816827
3,3,48,005,001200,1400000US48005001200,48005001200,12.0,CT,399114984,98858732,-94.35561670713882,31.1401795584567
4,4,48,009,020200,1400000US48009020200,48009020200,202.0,CT,1318291865,40681909,-98.77965235329762,33.64704329288945
5,5,48,013,960100,1400000US48013960100,48013960100,9601.0,CT,972585165,1544055,-98.32295846838784,28.880920402021115
6,6,48,017,950100,1400000US48017950100,48017950100,9501.0,CT,2141847193,1775275,-102.82987661803683,34.06857068854396
7,7,48,021,950600,1400000US48021950600,48021950600,9506.0,CT,629206016,4236398,-97.22521244432792,29.970084420975905
8,8,48,027,020500,1400000US48027020500,48027020500,205.0,CT,4463163,2569,-97.3303616443447,31.120991802850714
9,9,48,027,021100,1400000US48027021100,48027021100,211.0,CT,4043072,0,-97.37335783454773,31.08545775732925
10,10,48,027,022401,1400000US48027022401,48027022401,224.01,CT,3840026,0,-97.70790640750388,31.092664579733594
11,11,48,027,023104,1400000US48027023104,48027023104,231.04,CT,1823760,0,-97.75560361164293,31.107089813114346
12,12,48,029,110100,1400000US48029110100,48029110100,1101.0,CT,3533515,13720,-98.4907084822537,29.42663159633434
13,13,48,029,121300,1400000US48029121300,48029121300,1213.0,CT,5101698,5443,-98.381815342705,29.51973224632103
14,14,48,029,121803,1400000US48029121803,48029121803,1218.03,CT,3302360,4748,-98.36716165607841,29.554779591977898
15,15,48,029,131300,1400000US48029131300,48029131300,1313.0,CT,5346369,0,-98.39762258547589,29.392511751804687
16,16,48,029,131610,1400000US48029131610,48029131610,1316.1,CT,1821444,4755,-98.31795937833557,29.49498205001253
17,17,48,029,150100,1400000US48029150100,48029150100,1501.0,CT,2444783,86585,-98.50332367195617,29.403723562621913
18,18,48,029,151100,1400000US48029151100,48029151100,1511.0,CT,3463441,0,-98.53065432478958,29.362086853727607
19,19,48,029,160300,1400000US48029160300,48029160300,1603.0,CT,1764366,0,-98.52638519521348,29.39123672108931
20,20,48,029,170102,1400000US48029170102,48029170102,1701.02,CT,1114106,114080,-98.51958714083808,29.431633431096497
21,21,48,029,170402,1400000US48029170402,48029170402,1704.02,CT,1552462,0,-98.53553445328868,29.434287961694967
22,22,48,029,171902,1400000US48029171902,48029171902,1719.02,CT,7500306,58228,-98.65337072875495,29.435837287056252
23,23,48,029,180102,1400000US48029180102,48029180102,1801.02,CT,1049556,0,-98.53679030791129,29.465716958682005
24,24,48,029,180202,1400000US48029180202,48029180202,1802.02,CT,1995406,0,-98.5421240988819,29.47426563803891
25,25,48,029,181100,1400000US48029181100,48029181100,1811.0,CT,3433579,104781,-98.55028221783164,29.5269416446344
26,26,48,029,181716,1400000US48029181716,48029181716,1817.16,CT,3866357,1643,-98.69294874751913,29.507069907595145
27,27,48,029,181728,1400000US48029181728,48029181728,1817.28,CT,6248534,5979,-98.71133541683933,29.50936199742174
28,28,48,029,190100,1400000US48029190100,48029190100,1901.0,CT,1650993,0,-98.50708511258674,29.4480964269229
29,29,48,029,190604,1400000US48029190604,48029190604,1906.04,CT,1574274,54123,-98.51358442509036,29.47459814802013
30,30,48,029,191102,1400000US48029191102,48029191102,1911.02,CT,2344791,0,-98.51431339411495,29.51381373699565
31,31,48,029,191505,1400000US48029191505,48029191505,1915.05,CT,2430993,1480,-98.55391115382758,29.55427400318712
32,32,48,029,191900,1400000US48029191900,48029191900,1919.0,CT,3341280,0,-98.47040517935004,29.42806985499769
33,33,48,037,011600,1400000US48037011600,48037011600,116.0,CT,599803862,11010264,-94.6271807855668,33.556959083980196
34,34,48,039,660200,1400000US48039660200,48039660200,6602.0,CT,18317831,0,-95.23715079266289,29.512342698825208
35,35,48,039,661100,1400000US48039661100,48039661100,6611.0,CT,14104951,0,-95.22845219894417,29.441024218931517
36,36,48,039,663200,1400000US48039663200,48039663200,6632.0,CT,4168205,214938,-95.448846087418,29.05241616691769
37,37,48,041,000300,1400000US48041000300,48041000300,3.0,CT,9149694,0,-96.38649387247199,30.707012295968926
38,38,48,041,000800,1400000US48041000800,48041000800,8.0,CT,4218639,0,-96.35581303717046,30.65950815904335
39,39,48,041,001701,1400000US48041001701,48041001701,17.01,CT,2650968,0,-96.30656333856246,30.618063292253126
40,40,48,041,002007,1400000US48041002007,48041002007,20.07,CT,3985959,0,-96.28958924276726,30.56606348129042
41,41,48,055,960102,1400000US48055960102,48055960102,9601.02,CT,323073126,702119,-97.57558738340617,29.86824325257418
42,42,48,057,000200,1400000US48057000200,48057000200,2.0,CT,2993481,8741617,-96.60843532628537,28.612871314152432
43,43,48,061,011301,1400000US48061011301,48061011301,113.01,CT,1297323,41498,-97.67423915093862,26.18142738585117
44,44,48,061,012613,1400000US48061012613,48061012613,126.13,CT,3578126,102526,-97.49710611966978,25.96030001444078
45,45,48,061,013003,1400000US48061013003,48061013003,130.03,CT,1522070,22111,-97.50424592776656,25.937603587477867
46,46,48,061,013102,1400000US48061013102,48061013102,131.02,CT,3325567,174250,-97.45718319829626,25.93505610743801
47,47,48,061,013205,1400000US48061013205,48061013205,132.05,CT,1574029,0,-97.44204694564097,25.922780722729176
48,48,48,061,013901,1400000US48061013901,48061013901,139.01,CT,921436,0,-97.4664623895371,25.910283013126804
49,49,48,067,950100,1400000US48067950100,48067950100,9501.0,CT,457265536,29376845,-94.14436568341233,33.17756366341209
50,50,48,073,950100,1400000US48073950100,48073950100,9501.0,CT,451545806,6528018,-95.06973124244773,32.01595783229016
51,51,48,073,950300,1400000US48073950300,48073950300,9503.0,CT,403244692,5772964,-95.30868594241034,31.966515618288916
52,52,48,073,951100,1400000US48073951100,48073951100,9511.0,CT,237727236,326124,-95.01033874984536,31.51327333372141
53,53,48,085,030405,1400000US48085030405,48085030405,304.05,CT,2775194,0,-96.7969946781771,33.131026004229675
54,54,48,085,030407,1400000US48085030407,48085030407,304.07,CT,3268960,0,-96.83406437005542,33.12738745104863
55,55,48,085,030512,1400000US48085030512,48085030512,305.12,CT,2794407,5777,-96.74252820209013,33.129918349483184
56,56,48,085,030522,1400000US48085030522,48085030522,305.22,CT,5275515,0,-96.75906869450746,33.188858945267704
57,57,48,085,031317,1400000US48085031317,48085031317,313.17,CT,10948939,137166,-96.59303397575069,32.99736979385949
58,58,48,085,031625,1400000US48085031625,48085031625,316.25,CT,2467122,0,-96.76170279159807,33.033829189083455
59,59,48,085,031640,1400000US48085031640,48085031640,316.4,CT,3943103,0,-96.7415237794523,33.111736013240495
60,60,48,085,031663,1400000US48085031663,48085031663,316.63,CT,1478468,0,-96.78292594001103,33.0824210618463
61,61,48,085,031718,1400000US48085031718,48085031718,317.18,CT,1535945,0,-96.78696634058387,32.992095685093695
62,62,48,085,032012,1400000US48085032012,48085032012,320.12,CT,1605580,0,-96.689472845875,33.03605999105831
63,63,48,091,310404,1400000US48091310404,48091310404,3104.04,CT,4784376,139553,-98.1087260263079,29.68338633951836
64,64,48,097,000500,1400000US48097000500,48097000500,5.0,CT,10109273,26691,-97.14284074459982,33.65209927487594
65,65,48,099,010101,1400000US48099010101,48099010101,101.01,CT,750379320,11061553,-97.63251626387067,31.482534231140377
66,66,48,099,010601,1400000US48099010601,48099010601,106.01,CT,3428688,0,-97.89145014426612,31.12804198427014
67,67,48,103,950100,1400000US48103950100,48103950100,9501.0,CT,2033319713,1695980,-102.51559245465268,31.428618479222305
68,68,48,113,001001,1400000US48113001001,48113001001,10.01,CT,646814,0,-96.77659838725533,32.82120364993655
69,69,48,113,001203,1400000US48113001203,48113001203,12.03,CT,479384,0,-96.74411181412115,32.80280749712203
70,70,48,113,001900,1400000US48113001900,48113001900,19.0,CT,1183164,0,-96.80906879628597,32.79183779211847
71,71,48,113,003901,1400000US48113003901,48113003901,39.01,CT,1214731,0,-96.74522168235464,32.759907814986406
72,72,48,113,005200,1400000US48113005200,48113005200,52.0,CT,1468701,0,-96.8508134025786,32.74059113198217
